	PV	INF	HKM	Vva	nom	acc	dat	BA	BAN	BÓL	HOZ	IG	KOR	KÉNT	NKÉNT	NÁL	ON	RA	RÓL	STUL	SZOR	TT	TÓL	UL	VAL	VÁ	ÉRT
fel	1588.6111839949085	411.09766828584395	3.556196253265348	0.9756329101280631	164.33834032585042	190.6818899659251	89.92493936926203	3.9303360015642728	0.999353022875979	0.05485708873026489	9.342238475625308	0.8233229902321331	39.005304196166875	1.0810960672008134	-1	1.737847667444282	14.878464669781929	272.3944701721431	28.894598572408963	-1	1.1947062126635226	-1	23.288204366891424	1.894812740772174	29.30750758547918	28.718699298926875	0.28781958246898304
rá	88.47306319100693	58.13533651371358	273.32209905587365	0.11182864015151833	69.08577220520601	86.1909444504258	27.392929849665244	22.84315371910619	10.578127190970061	0.7572833630306074	13.872685203298044	2.1035017621563705	-1	-1	-1	4.242338383758372	35.01966165023602	1144.3465443761138	14.651798488533784	-1	-1	-1	1.1623611998610246	0.14864047029577898	18.124783089948675	4.4341407107558295	-1
bele	74.44227083971884	52.19791256124532	2.2787898838252865	0.031800025492877006	17.594309201269866	80.0261820063159	22.400660768038893	4989.194346274467	24.238653764129477	7.009622492294288	7.595588116882188	-1	-1	-1	-1	-1	25.720777313765787	22.443679573010833	9.990523207034746	-1	-1	-1	4.324141216300999	0.8933489411469084	11.044613321310706	-1	-1
hozzá	144.1359300692918	35.316834973224694	5.1863109754334555	2.261346135911229	1.0403285901956212	134.61981392543916	21.15090574977911	14.907420619129063	12.832846268032599	3.5626263473363253	6084.846961301545	-1	-1	-1	-1	-1	5.4052605551523145	31.254324358593628	5.95003089167938	-1	-1	-1	5.720643930873751	5.163613191687198	1.6964513273967161	-1	-1
észre	389.1864104272609	22.667531306411036	538.337241965466	-1	41.387105586923454	0.3117372680788682	8.412189734395724	6.469562981781988	3.176121680096176	-1	-1	-1	-1	-1	-1	-1	6.666106420210557	16.98558290973551	-1	-1	-1	-1	-1	0.09900532205767829	10.435008150797575	-1	-1
oda	11.69597929446961	32.12345380305344	13.827258378624792	0.004050672829556913	102.8122191994881	92.99973403665483	0.52375384879111	4.269372107595628	33.8422393240596	3.6345949143862626	569.9846319651459	-1	-1	-1	-1	-1	25.71369661834606	21.991657642334868	9.544146776438817	-1	-1	-1	2.628956038115363	0.07101441265336635	14.817057359093276	-1	-1
körül	31.48980288265724	12.548561938961882	7.40391816591137	-1	8.423020660047033	0.06077518576728083	5.505646586657018	-1	6.245788901067761	-1	-1	-1	-1	-1	-1	-1	1.5398613698002093	5.639409349018613	-1	-1	-1	-1	-1	2.400974036888841	0.8073093905148716	-1	-1
vissza	201.52460448447522	89.93239173610918	30.48547837979136	0.4760491746821505	108.29798590170378	19.393809560240307	25.163442177039236	220.9356815757273	22.491178737867315	0.0017485477834020555	177.48069420672428	0.18834405360993647	9.742547903992668e-06	0.0979144123267639	-1	5.3616368218139	15.116226839052604	186.3057892298955	6.3267177518853455	-1	-1	-1	0.37700934554199744	6.111781054673443	0.825798836382069	4.481505901039128	4.765911848013204
körbe	0.7371822708712886	4.959553768016746	-1	-1	10.605060617439765	16.73062569840347	-1	-1	0.002132570871444333	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
hátra	15.225485399149134	6.313968536354749	0.09852337343582773	-1	0.4100220975166018	8.557783235067355	-1	-1	4.411314303638414	-1	-1	-1	-1	-1	-1	-1	0.8507444091408529	0.5821998534191178	-1	-1	-1	-1	-1	-1	-1	-1	-1
végig	54.1469592332065	20.733158983947398	5.52200855416711	-1	17.94083072929807	7.066277990719609	9.404522666242654	5.864491792543065	4.674835465767855	-1	-1	-1	-1	-1	-1	-1	247.1704297979617	9.84711974419916	-1	-1	-1	-1	-1	0.4407501594144586	0.06450086971561368	-1	-1
abba	7.819656347794173	4.734272159325934	-1	-1	7.6800517099461825	19.005123044070487	-1	-1	1.5567861065880395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
viszont	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
elő	718.7369731563499	69.78015124120707	101.09066796985279	1.294509718150562	9.242376024764937	148.02859320793698	11.819590960226336	18.742258555377884	4.4048152316207645	39.808700255213495	4.422277189542617	1.046799009531597	-1	-1	-1	8.87469355965737	13.291121789312019	5.276507121363738	2.967794740428809	-1	-1	-1	7.127265180362043	11.740125814703905	0.4238652022646854	1.4861618210853285	-1
véghez	-1	-1	-1	-1	5.997457390372606	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
végre	124.86043356823328	7.784775384451845	2.4212447207947956	-1	1.7256320082994594	72.70166326986168	-1	-1	1.7722655905859994	-1	-1	-1	-1	-1	-1	-1	0.5292738469337777	5.690647591312976	-1	-1	-1	-1	-1	-1	0.06184875399816451	-1	-1
szét	27.900103832877612	14.437050899868384	6.913664211495793	-1	3.4882774435952575	0.04792620513984099	3.9710403037427353	2.865150606905629	0.03582813370248322	-1	-1	-1	-1	-1	-1	-1	0.0028422202347687855	1.2834001950873408	-1	-1	-1	-1	-1	0.4673734780899189	4.855561534146179	-1	-1
egybe	-1	-1	-1	-1	4.932932303896683	1.0379972309637047	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
felül	4.278114993225671	3.3542077780955615	-1	-1	0.04630114373968794	45.384267358714	-1	-1	0.16031093132037827	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
túl	2.131728253520159	7.823905822370749	7.275580499505128	-1	0.48293270609609834	30.932175396812326	-1	-1	2.085232297978347	-1	-1	-1	-1	-1	-1	-1	65.73787155864919	3.7446605672207274	-1	-1	-1	-1	-1	0.28781758595842233	0.006913534879031924	-1	-1
